"key","kategorija","naziv"
"","bela-tehnika","Dr. Beckmann Magic leaves color (roze)"
"","bela-tehnika","Kospel bojler EPO 2-6.2"
"","bela-tehnika","Franke sorter otpada Franke-D Cube 50"
"","bela-tehnika","MIELE Aspirator DAS 4631 OBSW 125 Edition"
"","bela-tehnika","Pobeda poklopac za mikrotalasnu"
"","bela-tehnika","Tesla mikrotalasna rerna MW203"
"","bela-tehnika","Max kabl 5x2,5 mm  PP/J 2met. M-T CRNI"
"","bela-tehnika","Dr. BECKMANN čistač frižidera 250 ml"
"","bela-tehnika","Cecotec mašina za pranje posuđa AQUAZERO 4201E S2782"
"","bela-tehnika","Union mini šporet UN42-B"
"","bela-tehnika","EL Fresco ručni frižider 25L"
"","kucni-aparati","ROBOROCK usisivač Qrevo Curv WH"
"","kucni-aparati","Ninja aparat za sladoled NC501EU"
"","kucni-aparati","Dafi classic filter patrona Protect+ 2 kom"
"","kucni-aparati","Ninja električni bokal KT201EU"
"","kucni-aparati","CECOTEC kuhinjska vaga"
"","kucni-aparati","KITCHENAID Toster KA5KMT2204EAC"
"","kucni-aparati","Aeno električni roštilj EG2"
"","kucni-aparati","Ninja aparat za kuvanje MC1001EU"
"","kucni-aparati","Ninja friteza AF100EU"
"","kucni-aparati","Ninja pica peć Woodfire 8 u 1 OO101EU"
"","kucni-aparati","CECOTEC kuhinjska vaga Cook Control 10400 Smart"
"","kucni-aparati","Rosberg vaga OV51651KD"
"","kucni-aparati","Aeno vaga KS1S"
"","kucni-aparati","Terraillon vaga Trad 500 Pop Cream TR14475"
"","kucni-aparati","Terraillon vaga Classic Black TR13528"
"","kucni-aparati","Ninja električni bokal KT200EU"
"","kucni-aparati","CECOTEC električni bokal Thermosense 180 Black"
"","kucni-aparati","CECOTEC električni bokal Thermosense 180 White"
"","kucni-aparati","CECOTEC električni bokal Thermosense 140 White"
"","kucni-aparati","CECOTEC  aparat za led Chillin Ice 1200"
"","kucni-aparati","Cecotec električni bokal Thermosense 350 Clear"
"","kucni-aparati","Cecotec električni bokal Thermosense 400 White Woody"
"","kucni-aparati","Aeno kuvalo za vodu EK7S"
"","kucni-aparati","Aeno kuvalo za vodu EK4"
"","kucni-aparati","Aeno kuvalo za vodu EK1S"
"","kucni-aparati","Aeno kuvalo za vodu EK3"
"","kucni-aparati","Aeno kuvalo za vodu EK2"
"","kucni-aparati","Zepter prečišćavač vode PWC-670-GOLD Edel Wasser"
"","kucni-aparati","Zepter prečišćavač vode PWC-670-BLACK Edel Wasser"
"","kucni-aparati","Dafi filter patrona Classic 4 kom N"
"","kucni-aparati","Dafi bokal Start 2,4L beli"
"","kucni-aparati","Dafi bokal za filtriranje vode Atria 2,4L plava"
"","kucni-aparati","Dafi bokal za filtriranje vode Crystal LED 2,0L bela"
"","kucni-aparati","Ninja aparat za sladoled NC300EU"
"","kucni-aparati","CECOTEC aparat za vakuumiranje Seal Vac Easy Magnetic"
"","kucni-aparati","Cecotec rolne 20x600 - 2 rolne"
"","kucni-aparati","CECOTEC dehidrator VitaDry Pro dehidrator"
"","kucni-aparati","CECOTEC vakuum kese u rolni SealVac 140 steelcut"
"","kucni-aparati","Aeno aparat za vakuumiranje i zavarivanje VS1"
"","kucni-aparati","Aeno aparat za vakuumiranje i zavarivanje VS2"
"","kucni-aparati","ROBOROCK usisivač Qrevo S WH"
"","kucni-aparati","Roborock usisivač S8 BK"
"","kucni-aparati","Roborock usisivač S8 WH"
"","kucni-aparati","Roborock usisivač Q8 Max+ BK"
"","kucni-aparati","Roborock usisivač Q8 Max+ WH"
"","kucni-aparati","Roborock usisivač Q8 Max BK"
